-281,50,-101
-281,61,-92
-291,77,-80
-289,76,-172
-235,257,-374
-171,387,-403
23,588,-283
101,602,-221
277,543,-138
360,458,-71
402,350,19
353,201,178
330,164,216
239,19,265
217,-35,254
242,-165,132
241,-216,33
240,-223,-192
196,-193,-307
-93,-129,-308
-195,-87,-215
-250,-18,-138
-260,-3,-98
-262,35,15
-264,23,9
-267,90,-256
-227,222,-386
-154,353,-436
24,517,-425
92,538,-415
267,511,-408
341,493,-341
417,405,-88
396,337,52
342,190,206
303,65,241
151,-92,246
80,-129,224
39,-204,135
40,-240,63
95,-268,-28
59,-258,-121
-114,-154,-253
-188,-96,-238
-227,-67,-177
-267,13,-59
-276,47,-88
-253,163,-283
-209,255,-356
-41,461,-413
44,522,-384
245,514,-380
358,450,-360
440,360,-87
412,314,59
367,104,208
295,-15,239
204,-146,202
217,-200,126
154,-267,3
187,-266,-42
227,-255,-147
83,-201,-294
-13,-191,-277
-142,-132,-270
-189,-89,-240
-260,18,-85
-268,35,-71
-266,79,-187
-230,161,-314
-99,385,-416
2,468,-416
199,543,-291
288,514,-244
455,348,-109
467,236,17
